image_path,predicted_class_index,predicted_class_confidence,all_class_confidences,gradcam_output_path
dataset/train\DEFECT\defect_135.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_135.jpg
dataset/train\DEFECT\defect_136.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_136.jpg
dataset/train\DEFECT\defect_137.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_137.jpg
dataset/train\DEFECT\defect_138.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_138.jpg
dataset/train\DEFECT\defect_139.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_139.jpg
dataset/train\DEFECT\defect_14.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_14.jpg
dataset/train\DEFECT\defect_140.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_140.jpg
dataset/train\DEFECT\defect_141.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_141.jpg
dataset/train\DEFECT\defect_142.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_142.jpg
dataset/train\DEFECT\defect_143.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_143.jpg
dataset/train\DEFECT\defect_144.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_144.jpg
dataset/train\DEFECT\defect_145.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_145.jpg
dataset/train\DEFECT\defect_146.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_146.jpg
dataset/train\DEFECT\defect_147.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_147.jpg
dataset/train\DEFECT\defect_148.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_148.jpg
dataset/train\DEFECT\defect_149.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_149.jpg
dataset/train\DEFECT\defect_15.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_15.jpg
dataset/train\DEFECT\defect_150.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_150.jpg
dataset/train\DEFECT\defect_151.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_151.jpg
dataset/train\DEFECT\defect_152.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_152.jpg
dataset/train\DEFECT\defect_153.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_153.jpg
dataset/train\DEFECT\defect_154.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_154.jpg
dataset/train\DEFECT\defect_155.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_155.jpg
dataset/train\DEFECT\defect_156.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_156.jpg
dataset/train\DEFECT\defect_157.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_157.jpg
dataset/train\DEFECT\defect_158.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_158.jpg
dataset/train\DEFECT\defect_159.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_159.jpg
dataset/train\DEFECT\defect_16.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_16.jpg
dataset/train\DEFECT\defect_160.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_160.jpg
dataset/train\DEFECT\defect_161.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_161.jpg
dataset/train\DEFECT\defect_162.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_162.jpg
dataset/train\DEFECT\defect_163.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_163.jpg
dataset/train\DEFECT\defect_164.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_164.jpg
dataset/train\DEFECT\defect_165.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_165.jpg
dataset/train\DEFECT\defect_166.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_166.jpg
dataset/train\DEFECT\defect_167.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_167.jpg
dataset/train\DEFECT\defect_168.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_168.jpg
dataset/train\DEFECT\defect_169.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_169.jpg
dataset/train\DEFECT\defect_17.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_17.jpg
dataset/train\DEFECT\defect_170.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_170.jpg
dataset/train\DEFECT\defect_171.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_171.jpg
dataset/train\DEFECT\defect_172.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_172.jpg
dataset/train\DEFECT\defect_173.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_173.jpg
dataset/train\DEFECT\defect_174.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_174.jpg
dataset/train\DEFECT\defect_175.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_175.jpg
dataset/train\DEFECT\defect_176.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_176.jpg
dataset/train\DEFECT\defect_177.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_177.jpg
dataset/train\DEFECT\defect_178.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_178.jpg
dataset/train\DEFECT\defect_179.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_179.jpg
dataset/train\DEFECT\defect_18.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_18.jpg
dataset/train\DEFECT\defect_180.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_180.jpg
dataset/train\DEFECT\defect_181.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_181.jpg
dataset/train\DEFECT\defect_182.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_182.jpg
dataset/train\DEFECT\defect_183.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_183.jpg
dataset/train\DEFECT\defect_184.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_184.jpg
dataset/train\DEFECT\defect_185.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_185.jpg
dataset/train\DEFECT\defect_186.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_186.jpg
dataset/train\DEFECT\defect_187.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_187.jpg
dataset/train\DEFECT\defect_188.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_188.jpg
dataset/train\DEFECT\defect_189.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_189.jpg
dataset/train\DEFECT\defect_19.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_19.jpg
dataset/train\DEFECT\defect_190.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_190.jpg
dataset/train\DEFECT\defect_191.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_191.jpg
dataset/train\DEFECT\defect_192.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_192.jpg
dataset/train\DEFECT\defect_193.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_193.jpg
dataset/train\DEFECT\defect_194.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_194.jpg
dataset/train\DEFECT\defect_195.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_195.jpg
dataset/train\DEFECT\defect_196.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_196.jpg
dataset/train\DEFECT\defect_197.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_197.jpg
dataset/train\DEFECT\defect_198.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_198.jpg
dataset/train\DEFECT\defect_199.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_199.jpg
dataset/train\DEFECT\defect_2.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_2.jpg
dataset/train\DEFECT\defect_20.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_20.jpg
dataset/train\DEFECT\defect_200.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_200.jpg
dataset/train\DEFECT\defect_201.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_201.jpg
dataset/train\DEFECT\defect_202.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_202.jpg
dataset/train\DEFECT\defect_203.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_203.jpg
dataset/train\DEFECT\defect_204.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_204.jpg
dataset/train\DEFECT\defect_205.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_205.jpg
dataset/train\DEFECT\defect_206.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_206.jpg
dataset/train\DEFECT\defect_207.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_207.jpg
dataset/train\DEFECT\defect_208.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_208.jpg
dataset/train\DEFECT\defect_209.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_209.jpg
dataset/train\DEFECT\defect_21.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_21.jpg
dataset/train\DEFECT\defect_210.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_210.jpg
dataset/train\DEFECT\defect_211.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_211.jpg
dataset/train\DEFECT\defect_212.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_212.jpg
dataset/train\DEFECT\defect_213.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_213.jpg
dataset/train\DEFECT\defect_214.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_214.jpg
dataset/train\DEFECT\defect_215.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_215.jpg
dataset/train\DEFECT\defect_216.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_216.jpg
dataset/train\DEFECT\defect_217.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_217.jpg
dataset/train\DEFECT\defect_218.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_218.jpg
dataset/train\DEFECT\defect_219.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_219.jpg
dataset/train\DEFECT\defect_22.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_22.jpg
dataset/train\DEFECT\defect_220.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_220.jpg
dataset/train\DEFECT\defect_221.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_221.jpg
dataset/train\DEFECT\defect_222.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_222.jpg
dataset/train\DEFECT\defect_223.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_223.jpg
dataset/train\DEFECT\defect_224.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_224.jpg
dataset/train\DEFECT\defect_225.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_225.jpg
dataset/train\DEFECT\defect_226.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_226.jpg
dataset/train\DEFECT\defect_227.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_227.jpg
dataset/train\DEFECT\defect_228.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_228.jpg
dataset/train\DEFECT\defect_229.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_229.jpg
dataset/train\DEFECT\defect_23.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_23.jpg
dataset/train\DEFECT\defect_230.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_230.jpg
dataset/train\DEFECT\defect_231.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_231.jpg
dataset/train\DEFECT\defect_232.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_232.jpg
dataset/train\DEFECT\defect_233.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_233.jpg
dataset/train\DEFECT\defect_234.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_234.jpg
dataset/train\DEFECT\defect_235.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_235.jpg
dataset/train\DEFECT\defect_236.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_236.jpg
dataset/train\DEFECT\defect_237.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_237.jpg
dataset/train\DEFECT\defect_238.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_238.jpg
dataset/train\DEFECT\defect_239.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_239.jpg
dataset/train\DEFECT\defect_24.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_24.jpg
dataset/train\DEFECT\defect_240.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_240.jpg
dataset/train\DEFECT\defect_241.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_241.jpg
dataset/train\DEFECT\defect_242.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_242.jpg
dataset/train\DEFECT\defect_243.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_243.jpg
dataset/train\DEFECT\defect_244.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_244.jpg
dataset/train\DEFECT\defect_245.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_245.jpg
dataset/train\DEFECT\defect_246.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_246.jpg
dataset/train\DEFECT\defect_247.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_247.jpg
dataset/train\DEFECT\defect_248.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_248.jpg
dataset/train\DEFECT\defect_249.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_249.jpg
dataset/train\DEFECT\defect_25.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_25.jpg
dataset/train\DEFECT\defect_250.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_250.jpg
dataset/train\DEFECT\defect_251.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_251.jpg
dataset/train\DEFECT\defect_252.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_252.jpg
dataset/train\DEFECT\defect_253.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_253.jpg
dataset/train\DEFECT\defect_254.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_254.jpg
dataset/train\DEFECT\defect_255.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_255.jpg
dataset/train\DEFECT\defect_256.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_256.jpg
dataset/train\DEFECT\defect_257.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_257.jpg
dataset/train\DEFECT\defect_258.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_258.jpg
dataset/train\DEFECT\defect_259.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_259.jpg
dataset/train\DEFECT\defect_26.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_26.jpg
dataset/train\DEFECT\defect_260.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_260.jpg
dataset/train\DEFECT\defect_261.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_261.jpg
dataset/train\DEFECT\defect_262.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_262.jpg
dataset/train\DEFECT\defect_263.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_263.jpg
dataset/train\DEFECT\defect_264.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_264.jpg
dataset/train\DEFECT\defect_265.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_265.jpg
dataset/train\DEFECT\defect_266.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_266.jpg
dataset/train\DEFECT\defect_267.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_267.jpg
dataset/train\DEFECT\defect_268.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_268.jpg
dataset/train\DEFECT\defect_269.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_269.jpg
dataset/train\DEFECT\defect_27.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_27.jpg
dataset/train\DEFECT\defect_270.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_270.jpg
dataset/train\DEFECT\defect_271.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_271.jpg
dataset/train\DEFECT\defect_272.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_272.jpg
dataset/train\DEFECT\defect_273.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_273.jpg
dataset/train\DEFECT\defect_274.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_274.jpg
dataset/train\DEFECT\defect_275.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_275.jpg
dataset/train\DEFECT\defect_276.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_276.jpg
dataset/train\DEFECT\defect_277.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_277.jpg
dataset/train\DEFECT\defect_278.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_278.jpg
dataset/train\DEFECT\defect_279.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_279.jpg
dataset/train\DEFECT\defect_28.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_28.jpg
dataset/train\DEFECT\defect_280.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_280.jpg
dataset/train\DEFECT\defect_281.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_281.jpg
dataset/train\DEFECT\defect_282.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_282.jpg
dataset/train\DEFECT\defect_283.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_283.jpg
dataset/train\DEFECT\defect_284.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_284.jpg
dataset/train\DEFECT\defect_285.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_285.jpg
dataset/train\DEFECT\defect_286.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_286.jpg
dataset/train\DEFECT\defect_287.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_287.jpg
dataset/train\DEFECT\defect_288.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_288.jpg
dataset/train\DEFECT\defect_289.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_289.jpg
dataset/train\DEFECT\defect_29.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_29.jpg
dataset/train\DEFECT\defect_290.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_290.jpg
dataset/train\DEFECT\defect_291.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_291.jpg
dataset/train\DEFECT\defect_292.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_292.jpg
dataset/train\DEFECT\defect_293.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_293.jpg
dataset/train\DEFECT\defect_294.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_294.jpg
dataset/train\DEFECT\defect_295.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_295.jpg
dataset/train\DEFECT\defect_296.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_296.jpg
dataset/train\DEFECT\defect_297.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_297.jpg
dataset/train\DEFECT\defect_298.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_298.jpg
dataset/train\DEFECT\defect_299.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_299.jpg
dataset/train\DEFECT\defect_3.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_3.jpg
dataset/train\DEFECT\defect_30.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_30.jpg
dataset/train\DEFECT\defect_300.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_300.jpg
dataset/train\DEFECT\defect_301.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_301.jpg
dataset/train\DEFECT\defect_302.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_302.jpg
dataset/train\DEFECT\defect_303.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_303.jpg
dataset/train\DEFECT\defect_304.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_304.jpg
dataset/train\DEFECT\defect_305.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_305.jpg
dataset/train\DEFECT\defect_306.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_306.jpg
dataset/train\DEFECT\defect_307.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_307.jpg
dataset/train\DEFECT\defect_308.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_308.jpg
dataset/train\DEFECT\defect_309.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_309.jpg
dataset/train\DEFECT\defect_31.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_31.jpg
dataset/train\DEFECT\defect_310.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_310.jpg
dataset/train\DEFECT\defect_311.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_311.jpg
dataset/train\DEFECT\defect_312.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_312.jpg
dataset/train\DEFECT\defect_313.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_313.jpg
